2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2417081.0 |KezdésIdeje: 17:1:54 |BefejezésIdeje: 17:1:59 |Eltelido: 0:0:5 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:12 |Ablak utólsó mérete: 960X540 |Használtmemória: 2357586.0 |KezdésIdeje: 17:2:24 |BefejezésIdeje: 17:2:28 |Eltelido: 0:0:4 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2619310.0 |KezdésIdeje: 13:41:15 |BefejezésIdeje: 13:41:25 |Eltelido: 0:0:10 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 1858046.0 |KezdésIdeje: 13:43:17 |BefejezésIdeje: 13:43:27 |Eltelido: 0:0:10 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2555224.0 |KezdésIdeje: 13:43:53 |BefejezésIdeje: 13:43:54 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2638226.0 |KezdésIdeje: 13:44:26 |BefejezésIdeje: 13:44:27 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2638511.0 |KezdésIdeje: 13:44:40 |BefejezésIdeje: 13:44:41 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2126731.0 |KezdésIdeje: 13:44:52 |BefejezésIdeje: 13:44:54 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2373949.0 |KezdésIdeje: 13:46:5 |BefejezésIdeje: 13:46:7 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2499069.0 |KezdésIdeje: 13:46:29 |BefejezésIdeje: 13:46:31 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2049954.0 |KezdésIdeje: 13:46:57 |BefejezésIdeje: 13:46:59 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2614360.0 |KezdésIdeje: 13:47:54 |BefejezésIdeje: 13:47:55 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2454564.0 |KezdésIdeje: 13:49:8 |BefejezésIdeje: 13:49:15 |Eltelido: 0:0:7 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2513526.0 |KezdésIdeje: 13:50:35 |BefejezésIdeje: 13:50:36 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2443796.0 |KezdésIdeje: 13:50:54 |BefejezésIdeje: 13:50:56 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2064577.0 |KezdésIdeje: 13:51:39 |BefejezésIdeje: 13:51:41 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2287765.0 |KezdésIdeje: 13:54:29 |BefejezésIdeje: 13:54:31 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2312718.0 |KezdésIdeje: 13:55:41 |BefejezésIdeje: 13:55:43 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2588838.0 |KezdésIdeje: 13:56:42 |BefejezésIdeje: 13:56:45 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2115959.0 |KezdésIdeje: 14:0:17 |BefejezésIdeje: 14:0:19 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2459320.0 |KezdésIdeje: 14:1:56 |BefejezésIdeje: 14:1:57 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
